Company,Position,Salary,symbol,industry,sector
AbbVie Inc.,"Senior Scientist I
198 Salaries submitted",190,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Associate Director
181 Salaries submitted",324,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Director
150 Salaries submitted",405,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Sales Representative
134 Salaries submitted",250,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Senior Scientist II
111 Salaries submitted",201,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Associate Scientist II
105 Salaries submitted",128,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Intern
94 Salaries submitted",111,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Specialty Sales Representative
81 Salaries submitted",289,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Manager
76 Salaries submitted",236,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Scientist
71 Salaries submitted",195,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Project Manager
71 Salaries submitted",197,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Business Systems Analyst
57 Salaries submitted",152,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Senior Scientist
57 Salaries submitted",214,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Scientist I
56 Salaries submitted",147,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Senior Manager
53 Salaries submitted",275,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Associate Scientist I
53 Salaries submitted",97,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Clinical Sales Representative
48 Salaries submitted",276,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Manufacturing Technician
43 Salaries submitted",68,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Scientist II
42 Salaries submitted",166,ABBV,Drug Manufacturers - General,Healthcare
AbbVie Inc.,"Pharmaceuticals Sales Representative
42 Salaries submitted",295,ABBV,Drug Manufacturers - General,Healthcare
Abeona Therapeutics Inc.,"Scientist
3 Salaries submitted",161,ABEO,Biotechnology,Healthcare
Abeona Therapeutics Inc.,"Senior Associate
3 Salaries submitted",136,ABEO,Biotechnology,Healthcare
Abeona Therapeutics Inc.,"Director
2 Salaries submitted",316,ABEO,Biotechnology,Healthcare
Abeona Therapeutics Inc.,"Sr. Quality Assurance Specialist
1 Salaries submitted",108,ABEO,Biotechnology,Healthcare
Abeona Therapeutics Inc.,"Senior Supply Chain Manager
1 Salaries submitted",195,ABEO,Biotechnology,Healthcare
Abeona Therapeutics Inc.,"Sr. Associate
1 Salaries submitted",105,ABEO,Biotechnology,Healthcare
Abeona Therapeutics Inc.,"Quality Assurance Associate
1 Salaries submitted",74,ABEO,Biotechnology,Healthcare
Abeona Therapeutics Inc.,"Process Associate
1 Salaries submitted",111,ABEO,Biotechnology,Healthcare
Abeona Therapeutics Inc.,"Vice President Clinical Operations
1 Salaries submitted",413,ABEO,Biotechnology,Healthcare
Abeona Therapeutics Inc.,"Senior Manufacturing Associate
1 Salaries submitted",100,ABEO,Biotechnology,Healthcare
Abeona Therapeutics Inc.,"Quality Assurance
1 Salaries submitted",80,ABEO,Biotechnology,Healthcare
Abeona Therapeutics Inc.,"Senior Director Regulatory Affairs
1 Salaries submitted",315,ABEO,Biotechnology,Healthcare
"ARCA biopharma, Inc.","Research Associate
3 Salaries submitted",73,ABIO,Biotechnology,Healthcare
"ARCA biopharma, Inc.","Intern
1 Salaries submitted",53,ABIO,Biotechnology,Healthcare
"ARCA biopharma, Inc.","Principal Scientist
1 Salaries submitted",157,ABIO,Biotechnology,Healthcare
Arbutus Biopharma Corporation,"Scientist
8 Salaries submitted",143,ABUS,Biotechnology,Healthcare
Arbutus Biopharma Corporation,"Research Scientist
4 Salaries submitted",153,ABUS,Biotechnology,Healthcare
Arbutus Biopharma Corporation,"Director
2 Salaries submitted",282,ABUS,Biotechnology,Healthcare
Arbutus Biopharma Corporation,"Senior Manager, Medical Writing
1 Salaries submitted",175,ABUS,Biotechnology,Healthcare
Arbutus Biopharma Corporation,"Senior Vice President Research & Development
1 Salaries submitted",456,ABUS,Biotechnology,Healthcare
Arbutus Biopharma Corporation,"Senior Associate
1 Salaries submitted",132,ABUS,Biotechnology,Healthcare
ACADIA Pharmaceuticals Inc.,"Associate Director
5 Salaries submitted",263,ACAD,Biotechnology,Healthcare
