Company,Average Salary,symbol,industry,sector
AbbVie Inc.,210.8,ABBV,Drug Manufacturers - General,Healthcare
Abeona Therapeutics Inc.,176.16666666666666,ABEO,Biotechnology,Healthcare
"ARCA biopharma, Inc.",94.33333333333331,ABIO,Biotechnology,Healthcare
Arbutus Biopharma Corporation,223.5,ABUS,Biotechnology,Healthcare
ACADIA Pharmaceuticals Inc.,228.85,ACAD,Biotechnology,Healthcare
"Acorda Therapeutics, Inc.",168.55,ACOR,Drug Manufacturers - Specialty & Generic,Healthcare
Adaptimmune Therapeutics plc,134.65,ADAP,Biotechnology,Healthcare
ADC Therapeutics SA,225.9,ADCT,Biotechnology,Healthcare
ADMA Biologics Inc,81.35,ADMA,Biotechnology,Healthcare
"Adverum Biotechnologies, Inc.",189.45,ADVM,Biotechnology,Healthcare
"Advaxis, Inc.",115.28571428571428,ADXS,Biotechnology,Healthcare
Aeterna Zentaris Inc.,201.0,AEZS,Biotechnology,Healthcare
Affimed N.V.,56.0,AFMD,Biotechnology,Healthcare
"AgeX Therapeutics, Inc.",166.0,AGE,Biotechnology,Healthcare
Agenus Inc.,114.0,AGEN,Biotechnology,Healthcare
"Agios Pharmaceuticals, Inc.",208.05,AGIO,Biotechnology,Healthcare
"Aeglea BioTherapeutics, Inc.",229.68421052631567,AGLE,Biotechnology,Healthcare
AIM ImmunoTech Inc.,171.0,AIM,Biotechnology,Healthcare
"Akebia Therapeutics, Inc.",267.75,AKBA,Biotechnology,Healthcare
"Akero Therapeutics, Inc.",198.0,AKRO,Biotechnology,Healthcare
"Aldeyra Therapeutics, Inc.",143.0,ALDX,Biotechnology,Healthcare
"Alector, Inc.",172.25,ALEC,Biotechnology,Healthcare
Alkermes plc,166.65,ALKS,Drug Manufacturers - Specialty & Generic,Healthcare
Allakos Inc.,121.0909090909091,ALLK,Biotechnology,Healthcare
"Allogene Therapeutics, Inc.",172.9,ALLO,Biotechnology,Healthcare
"Alnylam Pharmaceuticals, Inc.",168.25,ALNY,Biotechnology,Healthcare
"Alpine Immune Sciences, Inc.",130.1,ALPN,Biotechnology,Healthcare
"Aileron Therapeutics, Inc.",112.71428571428572,ALRN,Biotechnology,Healthcare
"Altimmune, Inc.",184.5,ALT,Biotechnology,Healthcare
"AlloVir, Inc.",138.53846153846155,ALVR,Biotechnology,Healthcare
Amgen Inc.,197.6,AMGN,Drug Manufacturers - General,Healthcare
Amarin Corporation plc,269.7,AMRN,Drug Manufacturers - General,Healthcare
Applied Molecular Transport Inc,103.95,AMTI,Biotechnology,Healthcare
"AnaptysBio, Inc.",123.36842105263158,ANAB,Biotechnology,Healthcare
Anika Therapeutics Inc.,128.25,ANIK,Medical Instruments & Supplies,Healthcare
"Anixa Biosciences, Inc.",366.0,ANIX,Biotechnology,Healthcare
"Annovis Bio, Inc.",263.0,ANVS,Biotechnology,Healthcare
"Apellis Pharmaceuticals, Inc.",237.8,APLS,Biotechnology,Healthcare
"Applied Therapeutics, Inc.",211.0,APLT,Biotechnology,Healthcare
"Aptose Biosciences, Inc.",126.0,APTO,Biotechnology,Healthcare
Aptinyx Inc.,174.33333333333334,APTX,Biotechnology,Healthcare
Aptevo Therapeutics Inc.,169.30769230769232,APVO,Biotechnology,Healthcare
"AquaBounty Technologies, Inc.",147.5,AQB,Farm Products,Consumer Defensive
"Aravive, Inc.",312.0,ARAV,Biotechnology,Healthcare
Arcturus Therapeutics Holdings ,117.25,ARCT,Biotechnology,Healthcare
Aridis Pharmaceuticals Inc.,93.33333333333331,ARDS,Biotechnology,Healthcare
"Ardelyx, Inc.",165.15,ARDX,Biotechnology,Healthcare
"Armata Pharmaceuticals, Inc.",90.83333333333331,ARMP,Biotechnology,Healthcare
"Arcutis Biotherapeutics, Inc.",325.0,ARQT,Biotechnology,Healthcare
"Arrowhead Pharmaceuticals, Inc.",146.55,ARWR,Biotechnology,Healthcare
"Assembly Biosciences, Inc.",141.15,ASMB,Biotechnology,Healthcare
Ascendis Pharma A/S,195.1,ASND,Biotechnology,Healthcare
"Athersys, Inc.",120.13333333333334,ATHX,Biotechnology,Healthcare
"Actinium Pharmaceuticals, Inc. ",242.625,ATNM,Biotechnology,Healthcare
"Atara Biotherapeutics, Inc.",181.45,ATRA,Biotechnology,Healthcare
Aurinia Pharmaceuticals Inc,202.6,AUPH,Biotechnology,Healthcare
Autolus Therapeutics plc,252.0,AUTL,Biotechnology,Healthcare
"AVROBIO, Inc.",193.4375,AVRO,Biotechnology,Healthcare
Anavex Life Sciences Corp.,168.33333333333334,AVXL,Biotechnology,Healthcare
Axcella Health Inc.,211.05882352941177,AXLA,Biotechnology,Healthcare
"BridgeBio Pharma, Inc.",210.3,BBIO,Biotechnology,Healthcare
"BioCardia, Inc.",182.0,BCDA,Biotechnology,Healthcare
"Atreca, Inc.",113.1,BCEL,Biotechnology,Healthcare
"BioCryst Pharmaceuticals, Inc.",130.15,BCRX,Biotechnology,Healthcare
Bicycle Therapeutics plc,171.73684210526315,BCYC,Biotechnology,Healthcare
"Black Diamond Therapeutics, Inc",123.63636363636364,BDTX,Biotechnology,Healthcare
Beam Therapeutics Inc.,165.75,BEAM,Biotechnology,Healthcare
Biohaven Ltd.,174.45,BHVN,Biotechnology,Healthcare
Biogen Inc.,183.2,BIIB,Drug Manufacturers - General,Healthcare
"Biocept, Inc.",97.9,BIOC,Diagnostics & Research,Healthcare
BioVie Inc.,186.0,BIVI,Biotechnology,Healthcare
BELLICUM PHARMACEUTICALS,132.6,BLCM,Biotechnology,Healthcare
"bluebird bio, Inc.",175.75,BLUE,Biotechnology,Healthcare
BioMarin Pharmaceutical Inc.,171.25,BMRN,Biotechnology,Healthcare
Burning Rock Biotech Limited,120.88888888888889,BNR,Diagnostics & Research,Healthcare
Benitec Biopharma Inc.,133.0,BNTC,Biotechnology,Healthcare
BioNTech SE,129.8,BNTX,Biotechnology,Healthcare
