year,symbol,marketCap,NetIncomeLoss,OperatingIncomeLoss,ResearchAndDevelopmentExpense,GeneralAndAdministrativeExpense,Revenues,CostOfGoodsSold,SalesRevenueGoodsNet,SalesRevenueNet,PaymentsToAcquirePropertyPlantAndEquipment,NetCashProvidedByUsedInOperatingActivities,CommonStockValue,CashAndCashEquivalentsAtCarryingValue,operatingMargin
2015,ABBV,,,,,,,,,,532000000.0,,,8399000000.0,0.3297
2016,ABBV,,5953000000.0,,,,,,,,479000000.0,,,5100000000.0,0.366
2017,ABBV,,5309000000.0,,,,,,,,529000000.0,,,9303000000.0,0.3399
2018,ABBV,,5687000000.0,,,,,,,,638000000.0,,,7289000000.0,0.1949
2019,ABBV,,7882000000.0,,,,,,,,552000000.0,13324000000.0,,39924000000.0,0.3903
2020,ABBV,148846.0,,,,,,,,,,,,,
2015,ABEO,,,,,,,,,,,,,,-17.8327
2016,ABEO,,,,,,,,,,,,,,-26.8628
2017,ABEO,,-27319000.0,-27836000.0,16989000.0,10943000.0,,,,837000.0,860000.0,-22935000.0,469000.0,137750000.0,-33.2569
2018,ABEO,,-56671000.0,-58166000.0,38698000.0,20106000.0,2998000.0,,,,9243000.0,-39111000.0,479000.0,18750000.0,-19.4016
2019,ABEO,,-76282000.0,,,,,,,,6309000.0,-62820000.0,836000.0,129258000.0,
2020,ABEO,113.6022,,,,,,,,,,,,,
2015,ABIO,,-11445000.0,-11455000.0,7063000.0,4392000.0,,,,,11000.0,,,38802000.0,
2016,ABIO,,-16444000.0,-16613000.0,12348000.0,4265000.0,,,,,12000.0,,,7401000.0,
2017,ABIO,,-18490000.0,-18712000.0,14076000.0,4636000.0,,,,,3000.0,,,8702000.0,
2018,ABIO,,-7933000.0,-8118000.0,4239000.0,3879000.0,,,,,4000.0,-8244000.0,,6608000.0,
2019,ABIO,,-5482000.0,-5814000.0,1833000.0,3981000.0,,,,,4000.0,-4801000.0,,,
2020,ABIO,24.21166,,,,,,,,,,,,,
2015,ABUS,,-61121000.0,-102322000.0,51505000.0,26438000.0,24873000.0,,,,2287000.0,-54785000.0,834240000.0,166779000.0,-4.4977
2016,ABUS,,-384164000.0,-491639000.0,61253000.0,39438000.0,1491000.0,,,,3996000.0,-57885000.0,867393000.0,23413000.0,-330.7894
2017,ABUS,,-84413000.0,-110930000.0,62676000.0,16129000.0,10700000.0,,,,7264000.0,-48640000.0,876108000.0,54292000.0,-10.4943
2018,ABUS,,-57060000.0,-89780000.0,57934000.0,16002000.0,5945000.0,,,,1138000.0,-67866000.0,,,-13.8742
2019,ABUS,,-153723000.0,-144074000.0,57601000.0,17727000.0,6011000.0,,,,589000.0,-71006000.0,898535000.0,31799000.0,-23.9396
2020,ABUS,225.7368,,,,,,,,,,,,,
2015,ACAD,,-164443000.0,-164612000.0,73869000.0,88304000.0,61000.0,,,,2141000.0,,10000.0,102138000.0,-2698.5574
2016,ACAD,,-271393000.0,-272815000.0,99284000.0,,17331000.0,3075000.0,17327000.0,,1506000.0,,,,-15.7414
2017,ACAD,,-289403000.0,-292410000.0,149189000.0,,124901000.0,9077000.0,124901000.0,,812000.0,,,,-2.3411
2018,ACAD,,-245192000.0,-247444000.0,187163000.0,,,,,,2148000.0,-167470000.0,,,-1.1056
2019,ACAD,,235259000.0,246545000.0,240385000.0,,,,,,1129000.0,151130000.0,,,-0.7271
2020,ACAD,6857.772,,,,,,,,,,,,,
2015,ACHV,,,,,,,,,,,,,,-1.0327
2016,ACHV,,,,,,,,,,,,,,-4.1865
2017,ACHV,,-10583000.0,,,,,,,,,,,,
2018,ACHV,,,,,,,,,,46000.0,-10623000.0,,,
2019,ACHV,,,,,,,,,,53000.0,-15216000.0,,,
2020,ACHV,32.2131,,,,,,,,,,,,,
2015,ACIU,,,,,,,,,,,,,,0.4764
2016,ACIU,,,,,,,,,,,,,,-0.4504
2017,ACIU,,,,,,,,,,,,,,-1.1128
2018,ACIU,,,,,,,,,,,,,,-6.8877
2019,ACIU,,,,,,,,,,,,,,0.4011
2020,ACIU,359.05800000000005,,,,,,,,,,,,,
2015,ACOR,,,,,,,,,,5921000.0,,,153204000.0,0.069
2016,ACOR,,,,,,,,,,6192000.0,,,158537000.0,-0.0692
2017,ACOR,,,,,,,,,,13688000.0,,,307068000.0,-0.3957
2018,ACOR,,,,,,,,,,33328000.0,150793000.0,,,0.0816
2019,ACOR,,272966000.0,,,,,,,,90426000.0,128167000.0,,,-1.3334
2020,ACOR,40.05822,,,,,,,,,,,,,
2015,ADAP,,,,,,,,,,,,,,-2.1517
2016,ADAP,,-71579000.0,-72799000.0,63789000.0,23208000.0,,,,14198000.0,11506000.0,,,,-5.1274
2017,ADAP,,-70138000.0,-80661000.0,87388000.0,31106000.0,,,,37833000.0,24643000.0,-54315000.0,,,-2.1319999999999997
2018,ADAP,,-95514000.0,-82365000.0,98269000.0,43601000.0,,,,,3910000.0,-104388000.0,,,-1.3842
2019,ADAP,,137165000.0,139770000.0,97501000.0,43391000.0,,,,,1592000.0,112507000.0,,,-124.5722
2020,ADAP,742.3746,,,,,,,,,,,,,
2015,ADCT,,,,,,,,,,,,,,
2016,ADCT,,,,,,,,,,,,,,
2017,ADCT,,,,,,,,,,,,,,-50.843
2018,ADCT,,,,,,,,,,,,,,-110.4746
2019,ADCT,,,,,,,,,,,,,,
2020,ADCT,2110.453,,,,,,,,,,,,,
2015,ADMA,,-17969930.0,-15513807.0,7015946.0,6745968.0,7177633.0,4311461.0,,7050283.0,26073.0,-15418404.0,1072.0,10440959.0,-2.2616
2016,ADMA,,-19515151.0,-17330395.0,7688238.0,8494742.0,10661037.0,6360761.0,,10518203.0,73410.0,-18268973.0,1289.0,9914867.0,-1.6256
2017,ADMA,,-43758975.0,-39309996.0,6229587.0,18092835.0,22760560.0,29164321.0,,15617726.0,2676328.0,-37271774.0,3673.0,43107574.0,-1.7803
2018,ADMA,,-18037987.0,-16547660.0,917304.0,6073051.0,4056424.0,,,,,,4635.0,22754852.0,-3.5495
2019,ADMA,,-48279317.0,-41424327.0,2343848.0,25910757.0,29349083.0,,,,3811838.0,-76193504.0,5932.0,26752135.0,-1.7509
2020,ADMA,194.2875,,,,,,,,,,,,,
2015,ADMS,,-51802000.0,,,,,,,,1399000.0,,,33104000.0,-29.9776
2016,ADMS,,-60058000.0,-60984000.0,31230000.0,30326000.0,572000.0,,,,1624000.0,-48068000.0,27000.0,23735000.0,-106.6154
2017,ADMS,,-89490000.0,-87926000.0,27168000.0,,571000.0,17000.0,568000.0,,1258000.0,-66827000.0,28000.0,91316000.0,-153.986
2018,ADMS,,-130999000.0,-115022000.0,39300000.0,,,,,,1064000.0,-104223000.0,32000.0,56605000.0,-3.3784
2019,ADMS,,105186000.0,92235000.0,30034000.0,,,,,,18000.0,80779000.0,,,-1.6881
2020,ADMS,100.4005,,,,,,,,,,,,,
2015,ADTX,,,,,,,,,,,,,,
2016,ADTX,,,,,,,,,,,,,,
2017,ADTX,,,,,,,,,,,,,,
2018,ADTX,,,,,,,,,,,,,,
2019,ADTX,,,,,,,,,,,,,,
2020,ADTX,20.37854,,,,,,,,,,,,,
2015,ADVM,,,,,,,,,,,,,,-20.6223
2016,ADVM,,-113747000.0,-115284000.0,31670000.0,24355000.0,,,,,2412000.0,,,222170000.0,-79.233
2017,ADVM,,-56147000.0,-58847000.0,39839000.0,20857000.0,,,,,1016000.0,,,70519000.0,-31.8264
2018,ADVM,,-72627000.0,-78081000.0,50133000.0,24560000.0,,,,,809000.0,-53964000.0,,,-48.4373
2019,ADVM,,-64486000.0,-68545000.0,40419000.0,28376000.0,,,,,19247000.0,-49170000.0,,,-274.18
2020,ADVM,1175.918,,,,,,,,,,,,,
2015,ADXS,,-47031118.0,,,,,,,,,,,66561683.0,
2016,ADXS,,-73556230.0,,,,,,,3994856.0,,,,112750980.0,-19.1477
2017,ADXS,,-93435402.0,,,,,,,12031050.0,,,,23899809.0,-8.1827
2018,ADXS,,-66515000.0,,,,6063000.0,,,,,,,44141000.0,-11.6079
2019,ADXS,,-16612000.0,,26677000.0,,,,,,54000.0,-36128000.0,,,-0.9375
2020,ADXS,33.72965,,,,,,,,,,,,,
2015,AEZS,,,,,,,,,,,,,,-64.0073
2016,AEZS,,,,,,,,,,,,,,-32.3557
2017,AEZS,,,,,,,,,,,,,,-24.9989
2018,AEZS,,,,,,,,,,,,,,0.3141
2019,AEZS,,,,,,,,,,,,,,-19.2519
2020,AEZS,28.51877,,,,,,,,,,,,,
2015,AFMD,,,,,,,,,,,,,,-2.8224
2016,AFMD,,,,,,,,,,,,,,-5.0751
2017,AFMD,,,,,,,,,,,,,,-13.5622
2018,AFMD,,,,,,,,,,,,,,-0.8231
2019,AFMD,,,,,,,,,,,,,,-1.5135
2020,AFMD,304.5394,,,,,,,,,,,,,
2015,AGE,,,,,,,,,,,,,,
2016,AGE,,,,,,,,,,,,,,-7.6465
2017,AGE,,,,,,,,,,,,,,-4.7457
2018,AGE,,-7502000.0,-11245000.0,5830000.0,5647000.0,,,,,21000.0,-7995000.0,,,-8.0552
2019,AGE,,,,,,,,,,,,,,-7.2679
2020,AGE,62.56035,,,,,,,,,,,,,
2015,AGEN,,-87881121.0,-80700936.0,70444259.0,28370001.0,24817025.0,,,,3591335.0,,,136702873.0,-3.2518
2016,AGEN,,-126995175.0,-107476766.0,94971379.0,33125690.0,22573303.0,,,,,,,71448016.0,-4.7612
2017,AGEN,,-120692492.0,-103801396.0,116125299.0,33741183.0,42877086.0,,,,3120357.0,,,60186617.0,-2.4209
2018,AGEN,,,-123821556.0,124600359.0,37339748.0,,,,,3597107.0,-131094517.0,,,-3.6589
2019,AGEN,,,-70137000.0,168339000.0,46041000.0,,,,,4657000.0,-18682000.0,,,-0.4674
2020,AGEN,722.7639999999999,,,,,,,,,,,,,
2015,AGIO,,-117732000.0,,,,,,,,20164000.0,,38000.0,71764000.0,-2.0078
2016,AGIO,,-198471000.0,,,,,,,,9915000.0,,42000.0,160754000.0,-2.8757
2017,AGIO,,-314670000.0,,,,,,,,4627000.0,-285232000.0,49000.0,102724000.0,-7.4584
2018,AGIO,,346028000.0,,,,,,,,6986000.0,304421000.0,58000.0,70502000.0,-3.8403
2019,AGIO,,411472000.0,,,,,,,,12171000.0,370622000.0,68000.0,80931000.0,-3.6157
2020,AGIO,2628.948,,,,,,,,,,,,,
2015,AGLE,,,,,,,,,,,,,,-1.8595
2016,AGLE,,-21698000.0,-21906000.0,18143000.0,8391000.0,,,,,212000.0,,,47748000.0,-4.7334
2017,AGLE,,-27236000.0,-27676000.0,22815000.0,10066000.0,,,,,619000.0,,,12817000.0,-5.3172
2018,AGLE,,-44348000.0,-45463000.0,36719000.0,12632000.0,,,,,422000.0,-32193000.0,,,-11.6932
2019,AGLE,,-78254000.0,-80334000.0,64600000.0,15734000.0,,,,,1492000.0,-65692000.0,,,
2020,AGLE,342.5268,,,,,,,,,,,,,
2015,AGTC,,-24318000.0,-24532000.0,16528000.0,10358000.0,2354000.0,,,,,,,39187000.0,-10.4214
2016,AGTC,,-1381000.0,-2089000.0,38864000.0,10586000.0,47361000.0,,,,2471000.0,,,28868000.0,-0.0441
