,0
0,ABBV
1,ABEO
2,ABIO
3,ABUS
4,ACAD
5,ACHV
6,ACIU
7,ACOR
8,ADAP
9,ADCT
10,ADMA
11,ADMS
12,ADTX
13,ADVM
14,ADXS
15,AEZS
16,AFMD
17,AGE
18,AGEN
19,AGIO
20,AGLE
21,AGTC
22,AIKI
23,AIM
24,AKBA
25,AKRO
26,AKUS
27,ALBO
28,ALDX
29,ALEC
30,ALKS
31,ALLK
32,ALLO
33,ALNA
34,ALNY
35,ALPN
36,ALRN
37,ALT
38,ALVR
39,ALXN
40,ALXO
41,AMGN
42,AMRN
43,AMTI
44,ANAB
45,ANCN
46,ANIK
47,ANIX
48,ANPC
49,ANVS
50,APLS
51,APLT
52,APM
53,APRE
54,APTO
55,APTX
56,APVO
57,AQB
58,ARAV
59,ARCT
60,ARDS
61,ARDX
62,ARMP
63,ARNA
64,ARQT
65,ARWR
66,ASLN
67,ASMB
68,ASND
69,ATHX
70,ATNM
71,ATNX
72,ATOS
73,ATRA
74,AUPH
75,AUTL
76,AVEO
77,AVRO
78,AVXL
79,AXLA
80,AYLA
81,AZRX
82,BBI
83,BBIO
84,BCDA
85,BCEL
86,BCLI
87,BCRX
88,BCYC
89,BDTX
90,BEAM
91,BHVN
92,BIIB
93,BIOC
94,BIVI
95,BLCM
96,BLU
97,BLUE
98,BMRN
99,BNR
100,BNTC
101,BNTX
102,BPMC
103,BPTH
104,BSTC
105,BTAI
106,BYSI
107,CABA
108,CALA
109,CAPR
110,CASI
111,CATB
112,CBIO
113,CBLI
114,CBMG
115,CBPO
116,CCXI
117,CDMO
118,CDNA
119,CDTX
120,CELC
121,CFRX
122,CGIX
123,CHRS
124,CKPT
125,CLBS
126,CLDX
127,CLGN
128,CLRB
129,CLSN
130,CLVS
131,CLXT
132,CMPI
133,CMRX
134,CNCE
135,CNST
136,CNTG
137,COGT
138,CPRX
139,CRBP
140,CRDF
141,CRIS
142,CRNX
143,CRSP
144,CRTX
145,CRVS
146,CSTL
147,CTIC
148,CTMX
149,CUE
150,CVAC
151,CVM
152,CWBR
153,CYCC
154,CYCN
155,CYTK
156,DCPH
157,DFFN
158,DMAC
159,DMTK
160,DNLI
161,DRNA
162,DTIL
163,DVAX
164,DYAI
165,DYN
166,EBS
167,EDIT
168,EDSA
169,EGRX
170,EIDX
171,EIGR
172,ENLV
173,ENOB
174,ENTA
175,ENTX
176,EPIX
177,EPZM
178,EQ
179,ESPR
180,ETNB
181,ETTX
182,EVGN
183,EVLO
184,EXAS
185,EXEL
186,FATE
187,FBIO
188,FBRX
189,FENC
190,FGEN
191,FIXX
192,FLXN
193,FMTX
194,FOLD
195,FPRX
196,FREQ
197,FRLN
198,FUSN
199,FWP
200,GALT
201,GBIO
202,GBT
203,GERN
204,GILD
205,GLMD
206,GLYC
207,GMDA
208,GNCA
209,GNPX
210,GOSS
211,GOVX
212,GRTS
213,GRTX
214,GTH
215,GTHX
216,HALO
217,HARP
218,HGEN
219,HOOK
220,HRTX
221,HSTO
222,HTBX
223,IBIO
224,ICCC
225,ICPT
226,IDRA
227,IDYA
228,IFRX
229,IGMS
230,IMAB
231,IMGN
232,IMTX
233,IMUX
234,IMV
235,IMVT
236,INBX
237,INCY
238,INFI
239,INMB
240,INO
241,INSM
242,IONS
243,IOVA
244,IRWD
245,ISEE
246,ISR
247,JNCE
248,KALV
249,KDMN
250,KDNY
251,KIN
252,KMDA
253,KNSA
254,KOD
255,KPTI
256,KRBP
257,KROS
258,KRTX
259,KRYS
260,KTRA
261,KURA
262,KYMR
263,KZR
264,LCTX
265,LEGN
266,LGND
267,LIFE
268,LIXT
269,LJPC
270,LMNL
271,LOGC
272,LPTX
273,LRMR
274,LTRN
275,LUMO
276,LXRX
277,MACK
278,MBIO
279,MBRX
280,MCRB
281,MDGL
282,MDXG
283,MEIP
284,MGEN
285,MGNX
286,MGTA
287,MGTX
288,MIRM
289,MITO
290,MLND
291,MNKD
292,MNOV
293,MNPR
294,MORF
295,MRKR
296,MRNA
297,MRSN
298,MRTX
299,MRUS
300,MTCR
301,MTEM
302,MTNB
303,MYGN
304,MYOV
305,NAVB
306,NBIX
307,NBSE
308,NCNA
309,NERV
310,NK
311,NKTX
312,NLTX
313,NNVC
314,NRBO
315,NTEC
316,NTLA
317,NTRA
